"","node_size","RMSE_mse","MAE_mse","RMSE_quantile_regr","MAE_quantile_regr","RMSE_la.quantile_regr","MAE_la.quantile_regr"
"1",1,0.0142081959486997,0.00735464912985271,0.0140603180180992,0.00736152489959843,0.0142245730998243,0.00728813616370244
"2",2,0.0137140381828689,0.00718459143239621,0.0132224421345045,0.00727679212086445,0.0131933347756186,0.0071885827309237
"3",3,0.0132955674704286,0.00707310120481923,0.0124533160638933,0.00706751975521134,0.0124081943873502,0.00702572864792506
"4",4,0.0131082043230612,0.0070093597054886,0.0119063236107206,0.00687606993689046,0.0121958472085515,0.00699400296423795
"5",5,0.0130307990691993,0.00699206281953209,0.0117787795813986,0.00682542811244983,0.0121053661823327,0.00700243820998282
"6",6,0.0129711537571596,0.00699051817978989,0.0118956854916414,0.00685006179262508,0.0122182798544158,0.00703742970409784
"7",7,0.0129215191181734,0.00701782914463938,0.0121022248254757,0.0068972576297197,0.0123623113459952,0.00708812418494047
"8",8,0.0129145100848194,0.00705145676567965,0.0123972562500546,0.00701745572620154,0.0125689138099492,0.00714181390945069
"9",9,0.0129367629671988,0.00712776107300383,0.0126195111484124,0.00709240432798627,0.0127836882182975,0.00722810857933575
"10",10,0.0129943125619966,0.00718639646497411,0.0129282799424725,0.00721903125519413,0.0130518152511871,0.00731878552949592
"11",11,0.0131632283360318,0.00731524818297472,0.0131925316018299,0.00730120238324319,0.0133430589085001,0.00740623085274965
"12",12,0.0132509260447944,0.00739341681381726,0.013596851960334,0.00743522318198416,0.0136513188588488,0.00748594768024715
"13",13,0.0133928749988643,0.00747300537693344,0.0139357297847507,0.00757376087362532,0.014008889144692,0.00760780496152393
"14",14,0.0134909836458312,0.00753507483404793,0.0142722330970793,0.00768478769145835,0.0142666342170339,0.00765922297271617
"15",15,0.0135474457569284,0.00756770321721187,0.0145492322794543,0.00778822025103873,0.0145874552285948,0.00774921036188932
"16",16,0.0135775404827609,0.00760486087527455,0.014778162514389,0.00787056754368452,0.0148641255694539,0.00783079222193787
"17",17,0.0137470655971495,0.00766122696978887,0.0149381053894887,0.00793858717369244,0.015111612672707,0.00791059258098952
"18",18,0.0138344240713461,0.00769029343883081,0.01518690334416,0.0080098442202345,0.0153772969427897,0.00800037097203408
"19",19,0.0140630330705916,0.00777151551943293,0.0153921813756246,0.00809379494561664,0.0155782971946013,0.00808318369546543
"20",20,0.0142460507750174,0.00782634197607491,0.0156022282346035,0.00816818445982989,0.0158460152463512,0.00818168137489346
